Código IBGE;Municípios;   Ano   ;População;Porte Populacional
3518305;Guararema;2021; 29.736 ;Até 50 mil
3518404;Guaratinguetá;2021; 118.741 ;De 100 a 200 mil
3518503;Guareí;2021; 15.844 ;Até 50 mil
3518602;Guariba;2021; 39.285 ;Até 50 mil
3518701;Guarujá;2021; 318.774 ;De 200 a 500 mil
3518800;Guarulhos;2021; 1.361.862 ;Mais de 500 mil
3518859;Guatapará;2021; 7.482 ;Até 50 mil
3518909;Guzolândia;2021; 5.134 ;Até 50 mil
3519006;Herculândia;2021; 9.310 ;Até 50 mil
3519055;Holambra;2021; 14.711 ;Até 50 mil
3519071;Hortolândia;2021; 233.548 ;De 200 a 500 mil
3519105;Iacanga;2021; 11.410 ;Até 50 mil
3519204;Iacri;2021; 6.255 ;Até 50 mil
3519253;Iaras;2021; 6.943 ;Até 50 mil
3519303;Ibaté;2021; 35.044 ;Até 50 mil
3519402;Ibirá;2021; 12.132 ;Até 50 mil
3519501;Ibirarema;2021; 7.570 ;Até 50 mil
3519600;Ibitinga;2021; 58.860 ;De 50 a 100 mil
3519709;Ibiúna;2021; 76.867 ;De 50 a 100 mil
3519808;Icém;2021; 8.077 ;Até 50 mil
3519907;Iepê;2021; 7.943 ;Até 50 mil
3520004;Igaraçu do Tietê;2021; 24.206 ;Até 50 mil
3520103;Igarapava;2021; 29.560 ;Até 50 mil
3520202;Igaratá;2021; 9.354 ;Até 50 mil
3520301;Iguape;2021; 29.555 ;Até 50 mil
3520400;Ilhabela;2021; 33.821 ;Até 50 mil
3520426;Ilha Comprida;2021; 10.410 ;Até 50 mil
3520442;Ilha Solteira;2021; 25.754 ;Até 50 mil
3520509;Indaiatuba;2021; 245.366 ;De 200 a 500 mil
3520608;Indiana;2021; 4.771 ;Até 50 mil
3520707;Indiaporã;2021; 3.847 ;Até 50 mil
3520806;Inúbia Paulista;2021; 3.913 ;Até 50 mil
3520905;Ipaussu;2021; 14.578 ;Até 50 mil
3521002;Iperó;2021; 34.800 ;Até 50 mil
3521101;Ipeúna;2021; 7.711 ;Até 50 mil
3521150;Ipiguá;2021; 5.286 ;Até 50 mil
3521200;Iporanga;2021; 4.424 ;Até 50 mil
3521309;Ipuã;2021; 16.001 ;Até 50 mil
3521408;Iracemápolis;2021; 23.907 ;Até 50 mil
3521507;Irapuã;2021; 7.767 ;Até 50 mil
3521606;Irapuru;2021; 7.295 ;Até 50 mil
3521705;Itaberá;2021; 17.615 ;Até 50 mil
3521804;Itaí;2021; 26.725 ;Até 50 mil
3521903;Itajobi;2021; 14.602 ;Até 50 mil
3522000;Itaju;2021; 3.688 ;Até 50 mil
3522109;Itanhaém;2021; 99.751 ;De 50 a 100 mil
3522158;Itaóca;2021; 3.187 ;Até 50 mil
